Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
0.000000E+0	5.191921E-3	5.294347E-3	2.026807E-3
6.054687E-4	3.129533E-3	8.215080E-4	6.663220E-4
1.210937E-3	6.180403E-3	7.906046E-3	2.722302E-3
1.816406E-3	3.495638E-3	4.537687E-3	2.545378E-3
2.421875E-3	3.031906E-3	5.703188E-3	1.880387E-3
3.027344E-3	2.787836E-3	3.646780E-3	4.046182E-3
3.632812E-3	2.116645E-3	5.800822E-3	4.229207E-3
4.238281E-3	4.563442E-3	5.324858E-3	2.240336E-3
4.843750E-3	4.746494E-3	9.022730E-3	2.325748E-3
5.449219E-3	2.922074E-3	3.012162E-3	-6.026507E-4
6.054688E-3	3.166144E-3	3.640678E-3	1.014069E-3
6.660156E-3	4.545137E-3	8.174539E-3	3.057847E-3
7.265625E-3	1.012230E-3	1.925988E-3	-3.403150E-4
7.871094E-3	4.831919E-3	7.295836E-3	2.179328E-3
8.476562E-3	3.623774E-3	6.301194E-3	5.852027E-3
9.082031E-3	3.886149E-3	5.916762E-3	1.904790E-3
9.687500E-3	7.364141E-3	9.309529E-3	4.839290E-3
1.029297E-2	5.130904E-3	8.107415E-3	3.161561E-3
1.089844E-2	4.136320E-3	2.906253E-4	1.825480E-3
1.150391E-2	4.490221E-3	8.491848E-3	5.370062E-3
1.210938E-2	1.109857E-3	2.603321E-3	2.191529E-3
1.271484E-2	3.275975E-3	5.617759E-3	2.270622E-4
1.332031E-2	3.422417E-3	4.720750E-3	1.190993E-3
1.392578E-2	4.374288E-3	5.672678E-3	2.496571E-3
1.453125E-2	6.534304E-3	1.082285E-2	4.442736E-3
1.513672E-2	4.947852E-3	8.906791E-3	2.252538E-3
1.574219E-2	3.233263E-3	2.249399E-3	-4.745332E-4
1.634766E-2	4.166829E-3	4.366828E-3	3.405595E-3
1.695312E-2	2.464444E-3	4.525483E-3	3.002940E-3
1.755859E-2	1.659014E-3	3.115898E-3	-1.048011E-3
1.816406E-2	7.736347E-3	9.431571E-3	2.118320E-3
1.876953E-2	2.726819E-3	2.475177E-3	2.728403E-3
1.937500E-2	4.868529E-3	2.371441E-3	2.612487E-3
1.998047E-2	8.206181E-3	9.675655E-3	7.401638E-3
2.058594E-2	2.781734E-3	6.819872E-3	1.142187E-3
2.119141E-2	4.179033E-3	1.163226E-3	7.432340E-6
2.179688E-2	5.612942E-3	9.175283E-3	5.650700E-3
